215.6	2318.47	0	3
215.6	2318.47	0	1
22213.333	2107.7	1	3
22213.333	2107.7	1	1
22213.333	2107.7	1	1
22213.333	2107.7	1	1
2221.333	2381.701	2	2
718.667	168616.0	3	2
3214.4	2444.932	4	2
5571.5	421.54	5	1
5571.5	421.54	5	1
1164.0	210.77	6	2
1932.333	421.54	7	1
1932.333	421.54	7	1
1932.333	421.54	7	2
2639.467	716.618	8	2
6334.333	4426.17	9	2
6334.333	4426.17	9	1
5687.5	3372.32	10	1
5687.5	3372.32	10	2
5687.5	3372.32	10	1
5687.5	3372.32	10	1
5687.5	3372.32	10	1
1204.167	8430.8	11	2
4312.0	1896.93	12	1
2810.667	2381.701	13	2
312.293	29802.878	14	1
312.293	29802.878	14	2
312.293	29802.878	14	1
54.423	7376.95	15	1
54.423	7376.95	15	1
54.423	7376.95	15	2
54.423	7376.95	15	2
43.917	3161.55	16	2
43.917	3161.55	16	1
43.917	3161.55	16	1
2221.333	1306.774	17	1
1724.8	800926.0	18	2
1518.667	168.616	19	2
1518.667	168.616	19	2
