215.6	662.42	0	3
215.6	662.42	0	1
22213.333	602.2	1	3
22213.333	602.2	1	1
22213.333	602.2	1	1
22213.333	602.2	1	1
2221.333	680.486	2	2
718.667	48176.0	3	2
3214.4	698.552	4	2
5571.5	120.44	5	1
5571.5	120.44	5	1
1164.0	60.22	6	2
1932.333	120.44	7	1
1932.333	120.44	7	1
1932.333	120.44	7	2
2639.467	204.748	8	2
6334.333	1264.62	9	2
6334.333	1264.62	9	1
5687.5	963.52	10	1
5687.5	963.52	10	2
5687.5	963.52	10	1
5687.5	963.52	10	1
5687.5	963.52	10	1
1204.167	2408.8	11	2
4312.0	541.98	12	1
2810.667	680.486	13	2
312.293	8515.108	14	1
312.293	8515.108	14	2
312.293	8515.108	14	1
54.423	2107.7	15	1
54.423	2107.7	15	1
54.423	2107.7	15	2
54.423	2107.7	15	2
43.917	903.3	16	2
43.917	903.3	16	1
43.917	903.3	16	1
2221.333	373.364	17	1
1724.8	228836.0	18	2
1518.667	48.176	19	2	
1518.667	48.176	19	2
